,Year Applied,School Name,Visited,Sex,Year of Birth,Race,Country of Citizenship,Country of Residence,State of Residence,1st Language,2nd Language,High School,U/W GPA,GPA Max,SAT Math,SAT Reading,SAT Total,ACT,Essay,SAT II Subject,SAT II Score,SAT II Subject,SAT II Score,College Decision,Student Decision,College
0,2019,,Yes,Male,2002,White,United States,United States,West Virginia,English,,,,,,,,,,,,,,,,American University Washington DC
0,2020,School of Molecular Sciences,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Arizona State University
0,2020,,Yes,Female,2001,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Binghamton University
1,2020,,No,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Binghamton University
2,2020,,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Binghamton University
3,2020,Harpur College of Arts and Sciences,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Binghamton University
4,2020,School of Management,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Binghamton University
5,2020,,No,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Binghamton University
0,2019,,Yes,Male,2002,White,United States,United States,West Virginia,English,,,,,,,,,,,,,,,,Boston College
1,2020,Carroll School of Management,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Boston College
0,2022,,No,Female,2004,Hispanic or Latino/a,United States,United States,Illinois,English,,,,,,,,,,,,,,,,Boston University
1,2020,,No,Female,2001,Black or African American,United States,United States,Massachusetts,English,,,,,,,,,,,,,,,,Boston University
2,2020,,No,Female,2001,Black or African American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Boston University
3,2020,College of Communiation,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Boston University
4,2020,College of Communication,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Boston University
5,2020,Questrom School of Business,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Boston University
0,2020,Barnard College for Women,Yes,Female,2001,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Columbia University
1,2020,Barnard College,Yes,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Columbia University
2,2020,Columbia College,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Columbia University
3,2020,Barnard College,Yes,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Columbia University
0,2020,Westphal,No,Female,2002,Asian or Asian American,United States,United States,New York,English,,,,,,,,,,,,,,,,Drexel University
1,2020,Business School,Yes,Female,2001,Black or African American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Drexel University
2,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,Drexel University
0,2020,,Yes,Female,2001,Black or African American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Emory University
1,2020,,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Emory University
2,2020,Emory College of Arts and Sciences,Yes,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Emory University
3,2020,,No,Female,2001,White,United States,United States,Massachusetts,English,,,,,,,,,,,,,,,,Emory University
4,2020,Emory College of Arts and Sciences,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Emory University
0,2020,Gabelli School of Business,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Fordham University
1,2020,,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Fordham University
0,2020,,No,Female,2001,Black or African American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,George Washington University
0,2020,College of liberal arts and sciences,Yes,Female,2001,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,Hofstra University
1,2020,Zarb,Yes,Female,2001,Black or African American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Hofstra University
2,2020,,No,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,Hofstra University
3,2020,Physician Assistant Studies,Yes,Female,2002,White,United States,United States,Connecticut,English,,,,,,,,,,,,,,,,Hofstra University
4,2020,College of Liberal Arts & Sciences,Yes,Male,2002,Hispanic or Latino/a,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Hofstra University
5,2020,Forensic Science,Yes,Male,2002,Hispanic or Latino/a,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Hofstra University
0,2020,Kelley Business School,No,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Indiana University Bloomington
1,2020,Kelley School of Business,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Indiana University Bloomington
0,2020,Martin Tuchman School of Management,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,New Jersey Institute of Technology
0,2020,Tisch,Yes,Female,2002,Asian or Asian American,United States,United States,California,English,,,,,,,,,,,,,,,,New York University
1,2020,Stern,Yes,Male,2002,Asian or Asian American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,New York University
2,2020,Stern Business School,No,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,New York University
3,2020,College of arts and science,Yes,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,New York University
4,2020,Stern School of Business,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,New York University
5,2020,Tisch School of the Arts,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,New York University
0,2020,D'Amore-McKim School of Business,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Northeastern University
1,2020,,No,Female,2001,Black or African American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Northeastern University
2,2020,D'amore-McKim School of Business,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Northeastern University
0,2020,,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Pennsylvania State University
1,2020,Smeal College of Business,No,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Pennsylvania State University
0,2020,Business School,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Rutgers University
0,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,Texas A&M University
0,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,Texas Tech University
0,2020,Fisher College of Business,No,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,The Ohio State University
0,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,The University of Texas at San Antonio
0,2020,,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Florida
1,2020,Warrington College of Business,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Florida
0,2020,Honors Program,No,Female,2001,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Maryland
1,2020,Robert H. Smith School of Business,No,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,University of Maryland
2,2020,,Yes,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Maryland
3,2020,Arts and Sciences,Yes,Female,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Maryland
4,2020,Robert H. Smith School of Business,No,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Maryland
0,2020,,Yes,Female,2001,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,University of Nebraska-Lincoln
0,2020,College of Arts & Sciences,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,University of Pennsylvania
1,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,University of Pennsylvania
0,2020,,Yes,,,,,,,,,,,,,,,,,,,,,,,University of Southern California
1,2020,Marshall Business School,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Southern California
0,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,University of Texas at Austin
1,2020,,Yes,Male,2002,White,United States,United States,New York,English,,,,,,,,,,,,,,,,University of Texas at Austin
0,2020,,Yes,Female,2002,White,United States,United States,Texas,English,,,,,,,,,,,,,,,,University of Texas at Dallas
0,2021,,No,Male,2003,Asian or Asian American,China,China,n/a,Chinese,,,,,,,,,,,,,,,,Vanderbilt University
0,2020,Villanova University,Yes,Female,2002,Asian or Asian American,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Villanova University
1,2020,School of Business,Yes,Male,2001,White,United States,United States,New Jersey,English,,,,,,,,,,,,,,,,Villanova University
0,2020,Stern Honors Program,Yes,Female,2001,White,United States,United States,New York,English,,,,,,,,,,,,,,,,Yeshiva University
